singlish_news,transliterated_l1,transliterated_l2,man_written,google
update - thawath covid-19 asadithayin 23k wartha wei.: army commander,update - තවත් covid - 19 අසඩිතයින් 23ක් වාර්තා වෙඉ .: army commander,update - තවත් covid - 19 ආසාදිතයින් 23ක් වාර්තා වෙයි . : army commander,update  - තවත් covid 19 ආසාදිතයින් 23ක් වාර්තා වෙයි Army Commander,උප්දටේ - තවත් චොවිඩ්-19 ආසාදිතයින් 23ක් වාර්තා වෙඉ අර්ම්ය් චොම්මන්දෙර්
thawath corona asadithain 102k handuna gene rajaye prauththi departhamenthuwa,තවත් කොරෝනා අසඩිතඉන් 102ක් හඳුන ගෙනෙ  රජයෙ ප්‍රෞත්ති දෙපාර්තමේන්තුව,තවත් කොරෝනා අසඩිතඉන් 102ක් හඳුන ගෙනෙ  රජයේ ප්‍රෞත්ති දෙපාර්තමේන්තුව,තවත්  කොරෝනා ආසාදිතයින්  102ක් හඳුනාගැනේ රජයේ ප්‍රවෘත්ති දෙපාර්තමේන්තුව,තවත් චොරෝන අසදිතෛන් 102ක් හඳුනා ගෙනෙ රජයේ ප්‍රුත්ති දෙපාර්තමේන්තුව
thawath covid-19 asadithayin 102k wartha wei.: army commander,තවත් covid - 19 අසඩිතයින් 102ක් වාර්තා වෙඉ .: army commander,තවත් covid - 19 ආසාදිතයින් 102ක් වාර්තා වෙයි . : army commander,තවත් covid 19 ආසාදිතයින් 23ක් වාර්තා වෙයි.: army Commander,තවත් චොවිඩ්-19 ආසාදිතයින් 102ක් වාර්තා වෙඉ අර්ම්ය් චොම්මන්දෙර්
2016 bendumkara siddiyata adalawa hitapu amathya ravi karunanayake athulu 08-dena 04/01 dakwa yali remand.: reporter,2016 බෙඳුම්කර සිඩ්ඩියට අඩලව හිටපු අමත්ය රවි කරුනනයකෙ ඇතුළු 08 - ඩෙන 04 / 01 දක්වා යලි remand .: reporter,2016 බැඳුම්කර සිද්ධියට අඩලව හිටපු අමාත්‍ය රවී කරුනනයකෙ ඇතුළු 08 - දෙන 04 / 01 දක්වා යලි remand . : reporter,2016 බැඳුම්කර සිද්ධියට අදාළව හිටපු අමාත්‍ය රවී කරුණානායක ඇතුළු 8-දෙනා 04/1 දක්වා යළි remand.: reporter,2016 බෙන්දුම්කර සිද්දියට අදාලව හිටපු අමාත්‍ය රවී කරුනනයකේ ඇතුළු 08-දෙන 04/01 දක්වා යලි රෙමංද රෙපොර්ටෙර්
"thawath covid-19 asadithayin 176k suwaya laba pitawa yai; suwaya labu mulu sankyawa 89,090.: epid","තවත් covid - 19 අසඩිතයින් 176ක් සුවය ලබ පිටව යඉ ; සුවය ලබු මුලු සන්ක්යව 89 , 090 .: එපිඩ්","තවත් covid - 19 ආසාදිතයින් 176ක් සුවය ලබ පිටව යයි ; සුවය ලබු මුලු සන්ක්යව 89 , 090 . : EPID",තවත් covid 19 ආසාදිතයින් 176ක් සුවය ලබා පිටව යයි සුවය ලැබූ මුළු සංඛ්‍යාව 89090:EPID,තවත් චොවිඩ්-19 ආසාදිතයින් 176ක් සුවය ලබා පිටව යෛ සුවය ලැබූ මුළු සන්ක්යව 89 එපිඩ්
(2/2)april 01 prakashayata path karana bawata colamba mahadhikaranaya niyoga karai,අප්‍රිල් 01 ප්‍රකශයට පත් කරන බවට කොලඹ මහඩ්හිකරනය නියොග කරඉ,අප්‍රිල් 01 ප්‍රකශයට පත් කරන බවට කොළඹ මහඩ්හිකරනය නියෝග කරයි,April 01 April 01 ප්‍රකාශයට පත්කරන බවට කොළඹ මහාධිකරණය නියෝග කරයි,(2/2)අප්රිල් 01 ප්‍රකාශයට පත් කරන බවට චොළඹ මහාධිකරණය නියෝග කරි
hitapu amathya ravi karunanayake ethulu 8 dena epa matha mudaharinneda nedda yanna pilibanda niyogaya(1/2),හිටපු අමත්ය රවි කරුනනයකෙ එතුලු 8 ඩෙන එප මත මුඩහරින්නෙඩ නෙඩ්ඩ යන්න පිලිබඳ නියොගය,හිටපු අමාත්‍ය රවී කරුනනයකෙ ඇතුළු 8 දෙන අප මත මුඩහරින්නෙඩ නෙඩ්ඩ යන්න පිලිබඳ නියෝගය,හිටපු අමාත්‍ය රවී කරුණානායක ඇතුළු 08 දෙනා ඇප මත මුදා හරින්නෙ නැද්ද යන්න පිළිබඳ නියෝගය,හිටපු අමාත්‍ය රවී කරුනනයකේ එතුලු 8 දෙන එපා මත මුදාහරින්නේද නෙද්ද යන්න පිලිබඳ නියෝගය(1/2)
"covid-19 asadithayin 176 deneku suwaya labai.merata suwaya labaa rohalwalin pitawa giya samastha ganana 89,090 dakwa ihalata - saukya amathyanshaya","covid - 19 අසඩිතයින් 176 ඩෙනෙකු සුවය ලබඉ . මෙරට සුවය ලබා රොහල්වලින් පිටව ගිය සමස්ත ගනන 89 , 090 දක්වා ඉහලට - සෞඛ්‍ය අමත්යන්ශය","covid - 19 ආසාදිතයින් 176 දෙනෙකු සුවය ලබයි . මෙරට සුවය ලබා රෝහල්වලින් පිටව ගිය සමස්ත ගණන 89 , 090 දක්වා ඉහලට - සෞඛ්‍ය අමත්යන්ශය",Covid-19 ආසාදිතයින් 176 දෙනෙකු සුවය ලබයි. මෙරට සුවය ලබා රෝහල් වලින් පිටව ගිය සමස්ත ගණන 89090 දක්වා  ඉහලට-සෞඛ්‍ය අමාත්‍යාංශය,චොවිඩ්-19 ආසාදිතයින් 176 දෙනෙකු සුවය ලැබී.මෙරට සුවය ලබා රෝහල්වලින් පිටව ගිය සමස්ත ගණන 89 දක්වා ඉහලට - සෞක්‍ය අමාත්යංශය
"pudgalayin 9,102 denekuta eye dinaye oxford astra-zeneca ennath labaa deemath samaga me dakwa 903,467 denekuta ennathkaranaya sidu karai","පුඩ්ගලයින් 9 , 102 ඩෙනෙකුට එයෙ ඩිනයෙ oxford astra zeneca එන්නත් ලබා ඩීමත් සමග මේ දක්වා 903 , 467 ඩෙනෙකුට එන්නත්කරනය සිදු කරඉ","පුද්ගලයින් 9 , 102 දෙනෙකුට එයෙ දිනයේ oxford astra zeneca එන්නත් ලබා දීමත් සමග මේ දක්වා 903 , 467 දෙනෙකුට එන්නත්කරණ සිදු කරයි","පුද්ගලයින්  9,102 දෙනෙකු ඊයේ දිනයේ oxford  astra zeneca එන්නත ලබා දීමත් සමග මේ දක්වා 903,467 දෙනෙකුට එන්නත් කරන සිදු කරයි",පුද්ගලයින් 9 දෙනෙකුට එයේ දිනයේ ඔෂ්ෆොර්ද ඇස්ට්‍රා-ළෙනෙක එන්නත් ලබා දීමත් සමග මේ දක්වා 903 දෙනෙකුට එන්නත්කරණය සිදු කරි
"swarnamahal jewellers hitapu adyakshawarun wana jeewaka, asanka, nalaka ha deepa edirisinghe, april 01 dakwa yali remand","ස්වර්නමහල් ජෙවෙල්ලෙර්ස් හිටපු අධ්‍යක්ෂවරුන් වන ජීවක , අසන්ක , නලක හා ඩීප එඩිරිසිඟ්හෙ , අප්‍රිල් 01 දක්වා යලි remand","ස්වර්නමහල් ජෙවෙල්ලෙර්ස් හිටපු අධ්‍යක්ෂවරුන් වන ජීවක , අසන්ත , නලක හා ඩීප එඩිරිසිඟ්හෙ , අප්‍රිල් 01 දක්වා යලි remand","සරණ මහල් ජුවලර්ස් හිටපු අධ්‍යක්ෂකවරුන් වන ජීවක,අසංක,නාලක හා දීපා එදිරිසිංහ අප්‍රේල් 1 දක්වා යළි remand",ස්වර්ණමහල් ජෙවෙල්ලෙර්ස් හිටපු අද්යක්ෂවරුන් වන ජීවක අසංක නාලක හා දීප එදිරිසින්ග්හේ අප්රිල් 01 දක්වා යලි රේමන්ඩ්
"nawalapitiya dumriya sthanaya asannayedi dumriyak peelipeneema nisa, udarata maargaye gamanagamanayata badha: reporter","නවලපිටිය ඩුම්‍රිය ස්තනය අසන්නයෙඩි ඩුම්‍රියක් පීලිපෙනීම නිසා , උඩරට මාර්ගයෙ ගමනගමනයට බඩ්හ : reporter","නාවලපිටිය දුම්රිය ස්තනය ආසන්නයේදී දුම්රියක් පීලිපැනීමට නිසා , උඩරට මාර්ගයේ ගමනාගමනය බඩ්හ : reporter","නාවලපිටිය දුම්රිය ස්ථානය ආසන්නයේදී දුම්රියක් පීලි පැනීම නිසා, උඩරට මාර්ගයේ ගමනාගමනයට ගමනාගමනයට බාධා: reporter",නාවලපිටිය දුම්රිය ස්ථානය ආසන්නයේදී දුම්රියක් පීලිපෙනීම නිසා උඩරට මාර්ගයේ ගමනාගමනයට බධ රෙපොර්ටෙර්
"ada(30) madya rathriye sita heta(31) madyama rathriya dakwa kriyathmaka wana paridi, siyaluma thepel sewakainge niwadu awalangu kere","අඩ ( 30 ) මඩ්ය රත්‍රියෙ සිට හෙට ( 31 ) මඩ්යම රත්‍රිය දක්වා ක්‍රියත්මක වන පරිදි , සියලුම තෙපෙල් සෙවකඉඟෙ නිවඩු අවලඟු කෙරෙ","අද ( 30 ) මඩ්ය රත්‍රියෙ සිට හෙට ( 31 ) මඩ්යම රත්‍රිය දක්වා ක්‍රියත්මක වන පරිදි , සියලුම තෙපෙල් සෙවකඉඟෙ නිවඩු අවලඟු කෙරේ","අද (30)මධ්‍යම රාත්‍රී සිට හෙට(31) මධ්‍යම රාත්‍රිය දක්වා ක්‍රියාත්මක වන පරිදි, සියලුම තැපැල්  සේවකයින්ගේ නිවාඩු අවලංගු කෙරේ",අද(30) මදය රාත්‍රියේ සිට හෙට(31) මද්යම රාත්‍රිය දක්වා ක්‍රියාත්මක වන පරිදි සියලුම තෙපෙල් සේවකින්ගේ නිවාඩු අවලංගු කෙරේ
"pannipitiyedi lorry ratha riyadurekta pahara dun police kosthapal april 5 thek remand.lorry ratha riyaduruge,riyaduru balapathraya thawakalikawa athhituwai","පන්නිපිටියෙඩි ලොර්ර්ය් රත රියඩුරෙක්ට පහර ඩුන් police කොස්තපල් අප්‍රිල් 5 තෙක් remand . ලොර්ර්ය් රත රියඩුරුගෙ , රියඩුරු බලපත්‍රය තවකලිකව අත්හිටුවඉ","පන්නිපිටියෙඩි ලොර්ර්ය් රථ රියඩුරෙක්ට පහර දුන් police කොස්තපල් අප්‍රිල් 5 තෙක් remand . ලොර්ර්ය් රථ රියදුරුගේ , රියදුරු බලපත්‍රය තාවකාලිකව අත්හිටුවන","පන්නිපිටියේ දී ලොරි රථ රියදුරෙකුට පහරදුන් පොලිස් කොස්තාපල් අප්‍රේල් 5 තෙක් remand ලොරි රථ රියදුරු ගේ,රියදුරු බලපත්‍රය තාවකාලිකව අත්හිටුවයි",පන්නිපිටියේදී ලොර්ර්ය් රථ රියදුරෙක්ට පහර දුන් පොලිචේ කොස්තාපල් අප්රිල් 5 තෙක් රේමන්ඩ්.ලොර්ර්ය් රථ රියදුරුගේ බලපත්‍රය තාවකාලිකව අත්හිටුවි
allas comisama pewaru naduwen hitapu agawinisuruwarayeku wu mohan peris ethulu sekakaruwan..(1/2),අල්ලස් කොමිසම පෙවරු නඩුවෙන් හිටපු අගවිනිසුරුවරයෙකු වු මොහන් පෙරිස් එතුලු සෙකකරුවන් ..,අල්ලස් කොමිසම පෙවරු අඩුවෙන් හිටපු අගවිනිසුරුවරයා වු මොහන් පෙරිස් ඇතුළු සැකකරුවන් ..,අල්ලස් කොමිසම පැවරූ නඩුවෙන් හිටපු අගවිනිසුරුවරයෙකු වූ මොහාන් පීරිස් ඇතුළු සැකකරුවන්..,අල්ලස් චොමිසම පෙවරු නඩුවෙන් හිටපු අගවිනිසුරුවරයෙකු වූ මොහාන් පෙරිස් එතුලු සේකකරුවන්..(1/2)
nidos kota nidahas kirimata colombo pradana mahesthrathwarayagen niyoga.(2/2),නිඩොස් කොට නිඩහස් කිරිමට කොලොඹො ප්‍රඩන මහෙස්ත්‍රත්වරයගෙන් නියොග .,නිදොස් කොට නිදහස් කිරිමට කොලොඹො ප්‍රඩන මහෙස්ත්‍රත් වරයගෙන් නියෝග .,නිදොස් කොට නිදහස් කිරීමට කොළඹ ප්‍රධාන මහේස්ත්‍රාත් වරයාගේ නියෝග,නිදොස් කොට නිදහස් කිරීමට චොලොම්බෝ ප්‍රදාන මහේස්ත්‍රාත්වරයාගෙන් නියෝග.(2/2)
colomba nagarika seemawe ratha wahana thada badayata wisadumak lesa kanu matha dumriya marga 4k idikirimata cabinet anumethiya.,කොලොඹ නගරික සීමවෙ රත වහන තඩ බඩයට විසඩුමක් ලෙස කනු මත ඩුම්‍රිය මර්ග 4ක් ඉඩිකිරිමට කබිනෙට් අනුමෙතිය .,කොලොඹ නාගරික සීමවෙ රථ වහන තද බලයට විසඳුම් ලෙස කණු මත දුම්රිය මර්ග 4ක් ඉදිකිරීමට කබිනෙට් අනුමැතිය .,කොළඹ නාගරික සීමාවේ රථ වාහන තදබදයට විසඳුමක් ලෙස කණු මත දුම්රිය මාර්ග 4ක් ඉදිකිරීමට ඉදි කිරීමට කැබිනට් අනුමැතිය,no
"(2/2) weliamuna para, balagala, galahaduwa, maradana para, elakanda ha hendala pare kotasakata jalaya ath-hituwai.: nws&db"," වෙලිඅමුන පර , බලගල , ගලහඩුව , මරඩන පර , එලකඳ හා හෙඳල පරෙ කොටසකට ජලය අත් - හිටුවඉ .: න්ව්ස් & ඩ්බ්"," වැලිඅමුණ පර , බලගල , ගලගහදුව , මරඩන පර , එලකඳ හා හෙඳල පරෙ කොටසකට ජලය අත් - හිටුවඉ . : න්ව්ස් & ඩ්බ්","වෙල් මුණ පාර,පාර බල්ගල ,ගලහා වඩුව, මරදාන පහර ,ඇල්ලකන්ද හා හින්දල පාරේ කොටසකට ජලය අත්හිටුවයි.:NWS&DB",(2/2) වෙලිඅමුන පර බලගල ගලහදුව මරදාන පර එලකන්ද හා හෙන්ඩල පාරේ කොටසකට ජලය ඇත-හිටුවී.: න්ව්ස්
"heta 10pm sita peya 18k wanawasala, oliyamulla, ewariwatta para, wattala meegamu para, thelagapatha, meegahawatta, hekitta, palliyawatta, (1/2)","හෙට 10ප්ම් සිට පෙය 18ක් වනවසල , ඔලියමුල්ල , එවරිවට්ට පර , වට්ටල මීගමු පර , තෙලගපත , මීගහවට්ට , හෙකිට්ට , පල්ලියවට්ට , ","හෙට 10ප්ම් සිට පෙය 18ක් වනවිට , ඔලියමුල්ල , එවරිවට්ට පර , කට්ටල මීගමු පර , තෙලගපත , මීගහවත්ත , හෙකිට්ට , පල්ලියවත්ත , ","හෙට 10 pm  සිට පැය 18 වන වණවාසළ ,ඔලියමුල්ල ,ඇවරියවත්ත පාර, වත්තල, මීගමු පාර, තෙල් ගව පත්ත පාර, මීගමුවට, හකිට්ට ට",හෙට 10ප්ම සිට පෙය 18ක් වනවාසල ඔලියමුල්ල එවරිවට්ට පර වට්ටලා මීගමු පර තෙලගපත මීගහවට්ට හෙකිට්ට පල්ලියවට්ට (1/2)
"wisha pol-thel anayanaya kala bawa kiyana samagamakata ayath, pol-thel 55,000l athulath bowser 02k dankotuwedi police baarayata","විශ පොල් - තෙල් අනයනය කල බව කියන සමගමකට අයත් , පොල් - තෙල් 55 , 000ල් අතුලත් බොව්සෙර් 02ක් ඩන්කොටුවෙඩි police බාරයට","විෂ පොල් - තෙල් අපනයන කල බව කියන සමාගමක් අයත් , පොල් - තෙල් 55 , 000ල් ඇතුළත් බොව්සෙර් 02ක් ඩන්කොටුවෙඩි police බාරයට","විශ්ව පොල්-තෙල් ආනයනය කළ බව කියන සමාගමකට අයත්,පොල් තෙල් 55,000L ඊට ඇතුළත් bousar 02ක් දංකොටුවේ දී පොලිස් භාරයට",විෂ පොල්-තෙල් ආනයනය කල බව කියන සමාගමකට අයත් පොල්-තෙල් 55 ඇතුලත් බෝව්සේර් 02ක් දන්කොටුවේදී පොලිචේ බාරයට
"update: wanawasala, oliyamulla, ewariwatte paara, balagala, thelangapatha, meegaswaththa, hekiththa(1/2)","update : වනවසල , ඔලියමුල්ල , එවරිවට්ටෙ පාර , බලගල , තෙලඟපත , මීගස්වත්ත , හෙකිත්ත ","update : වනවිට , ඔලියමුල්ල , එවරිවට්ටෙ පාර , බලගල , තෙලඟපත , මීගහවත්ත , හේකිත්ත ","update වණවාසළ ඔලියමුල්ල, ඇවරියවත්ත පාර, බලගල, තලන්ගාත, මේගස්වත්‍ත ,හෙකිත්ත",උප්දතෙ වනවාසල ඔලියමුල්ල එවරිවට්ටේ පාර බලගල තෙලන්ගපත මීගස්වත්ත හේකිත්ත(1/2)
"(2/2)palliyawaththa, elakanda pradeshawala heta 10pm sita peya 18 k jalaya athhituwai"," පල්ලියවත්ත , එලකඳ ප්‍රඩෙශවල හෙට 10ප්ම් සිට පෙය 18 ක් ජලය අත්හිටුවඉ"," පල්ලියවත්ත , එලකඳ ප්‍රදේශවල හෙට 10ප්ම් සිට පෙය 18 ක් ජලය අත්හිටුවන","පලියවත්ත , එලකන්ඩ  ප්‍රදේශ වන හෙට  10 සිට පැය  18ක් ජලය අත්හිටුවයි",(2/2)පල්ලියවත්ත එලකන්ද ප්‍රදේශවල හෙට 10ප්ම සිට පෙය 18 ක් ජලය අත්හිටුවි
"(2/2)palliyawaththa, elakanda pradeshawala heta 10am sita peya 18 k jalaya athhituwai"," පල්ලියවත්ත , එලකඳ ප්‍රඩෙශවල හෙට 10අම් සිට පෙය 18 ක් ජලය අත්හිටුවඉ"," පල්ලියවත්ත , එලකඳ ප්‍රදේශවල හෙට 10අම් සිට පෙය 18 ක් ජලය අත්හිටුවන","පලියවත්ත , එලකන්ඩ  ප්‍රදේශ වන හෙට  10 සිට පැය  18ක් ජලය අත්හිටුවයි",no
"wanawasala, oliyamulla, ewariwatte paara, balagala, thelangapatha, meegaswaththa, hekiththa(1/2)","වනවසල , ඔලියමුල්ල , එවරිවට්ටෙ පාර , බලගල , තෙලඟපත , මීගස්වත්ත , හෙකිත්ත ","වනවිට , ඔලියමුල්ල , එවරිවට්ටෙ පාර , බලගල , තෙලඟපත , මීගහවත්ත , හේකිත්ත ","වණවාසළ, ඔලියමුල්ල, ඇවරියවත්ත පාර, බලගල, තලන්ගාත, මේගස්වත්‍ත, හෙකිත්ත",වනවාසල ඔලියමුල්ල එවරිවට්ටේ පාර බලගල තෙලන්ගපත මීගස්වත්ත හේකිත්ත(1/2)
covid-19 asadithayin haduna gatha haki pahasu rudira pareekshana kramawedayak; (1/2),covid - 19 අසඩිතයින් හඳුනා ගත හකි පහසු රුඩිර පරීක්ශන ක්‍රමවෙඩයක් ;,covid - 19 ආසාදිතයින් හඳුනා ගත හකි පහසු රුධිර පරීක්ෂණ ක්‍රමවේදයක් ;,Covid 19 ආසාදිතයින් හඳුනාගත හැකි පහසු රුධිර පරීක්ෂණ ක්‍රමවේදයක්;,චොවිඩ්-19 ආසාදිතයින් හදුනා ගත හැකි පහසු රුදිර පරීක්ෂණ ක්රංඅවෙදයක (1/2)
(2/2) merata mahacharyawariyaka wana neelika malavige-da athulath oxford sarasawiye wisheshagngna kandayamak wisin soya gane,මෙරට මහචර්යවරියක වන නීලික මලවිගෙ - ද අතුලත් oxford සරසවියෙ විශෙශඥ්ඥ කඳයමක් විසින් සොය ගනෙ,මෙරට මහචර්යවරියක වන නීලික මලවිගෙ - ද ඇතුළත් oxford සරසවියේ විශෙශඥ්ඥ කුමක් විසින් සොය ගනෙ,මෙරට මහාචාර්යවරියක වන නාලිකා මලවිගේ දෙය ඇතුළත් ඔක්ස්ෆර්ඩ් සරසවියේ විශේෂඥ කණ්ඩායමක් විසින් සොයා ගැනේ,(2/2) මෙරට මහාචාර්යවරියක වන නීලික මලවිගේ-ද ඇතුලත් ඔෂ්ෆොර්ද සරසවියේ විශේෂග්න්ග්න කණ්ඩායමක් විසින් සොයා ගැනේ
"sl - kodew 2 wana test tharagaya palamu dinaya: batahira indeeya kodewwan 287/7 (k. brathwaite 99, k. mayers 49, suranga lakmal 71/3)","ස්ල් - කොඩෙව් 2 වන test තරගය පලමු ඩිනය : බටහිර ඉඳීය කොඩෙව්වන් 287 / 7 ( ක් . බ්‍රත්වඉටෙ 99 , ක් . මයෙර්ස් 49 , සුරඟ ලක්මල් 71 / 3 )","ස්ල් - කොදෙව් 2 වන test තරගය පළමු දිනය : බටහිර ඉඳීය කොඩෙව්වන් 287 / 7 ( ක් . බ්‍රත්වඉටෙ 99 , ක් . මයෙර්ස් 49 , සුරඟ ලක්මාල් 71/3)","SL කොදෙව් දෙවන ටෙස්ට් තරඟය පළමු දිනය: බටහිර ඉන්දීය කොදෙව්වන් 287/7(k.brathwaite 99,k mayers 49, සුරංග ලක්මාල්  77/3)",සල් - කොදෙව් 2 වන ටෙස්ට් තරගය පළමු දිනය බටහිර ඉන්දීය කොදෙව්වන් 287/7 ක බ්‍රත්වෛටේ 99 ක මයෙර්ස් 49 සුරංග ලක්මාල් 71/3)
"siravee thibu ""ever given"" bahalum nawukawa muda geneemen pasu, suez ele nawuka gamana gamanaya yali aramba wei: foreign media","සිරවී තිබු "" ever ගිවෙන් "" බහලුම් නවුකව මුඩ ගෙනීමෙන් පසු , සුඑz එලෙ නවුක ගමන ගමනය යලි අරඹ වෙඉ : foreign media","සිරවී තිබු `` ever ගිවෙන් `` බහලුම් නවුකව මුඩ ගැනීමෙන් පසු , සුඑz ඇලේ නවුක ගමන ගමන් යලි අරඹ වෙයි : foreign media","සිරවී තිබූ බහළුම් E""ver given""  නෞකාව මුදා ගැනීමෙන් පසු සූවස් ඇලේ  නෞකා ගමනාගමනය යළි ආරම්භ වෙයි: foreign media",සිරවී තිබු එවෙර් ගිවෙන බහලුම් නවුකව මුදා ගෙනීමෙන් පසු සුඑළ් එළෙ නාවුක ගමන ගමනය යලි අරඹ වෙඉ ෆොරෙඉග්න් මෙදිඅ
(2/2) ginikona diga arabi muhudu pradesha wala deewara ha nawuka katayuthu wala noyedenna; ema pradesha wala sitina deewarainta yali paminena lesa upades,ගිනිකොන ඩිග අරබි මුහුඩු ප්‍රඩෙශ වල ඩීවර හා නවුක කටයුතු වල නොයෙඩෙන්න ; එම ප්‍රඩෙශ වල සිටින ඩීවරඉන්ට යලි පමිනෙන ලෙස උපඩෙස්,ගිනිකොණ දිග ඇරඹි මුහුදු ප්‍රදේශ වල ධීවර හා නවුක කටයුතු වල නොයෙඩෙන්න ; එම ප්‍රදේශ වල සිටින ධීවරයින්ට යලි පමිනෙන ලෙස උපදෙස්,ගිනිකොනදිග අරාබි මුහුදු ප්‍රදේශ වල ප්‍රදේශවල ධීවර හා නෞකා කටයුතු වල  එම ප්‍රදේශ වල සිටින ධීවරයින්ට යළි පැමිණෙන ලෙස උපදෙස්,(2/2) ගිනිකොන දිග අරාබි මුහුදු ප්‍රදේශ වල දීවර හා නාවුක කටයුතු වල නොයෙදෙඅ එම ප්‍රදේශ වල සිටින දීවරින්ට යලි පැමිණෙන ලෙස උපදෙස්
"idiri peya 72-thula ginikona diga bengala bokka, andaman muhuda ha gemburu muhuda pradesha wala menma, idiri peya 24-thula (1/2)","ඉඩිරි පෙය 72 - තුළ ගිනිකොන ඩිග බෙඟල බොක්ක , අඳමන් මුහුඩ හා ගෙඹුරු මුහුඩ ප්‍රඩෙශ වල මෙන්ම , ඉඩිරි පෙය 24 - තුළ ","ඉඩිරි පෙය 72 - තුළ ගිනිකොණ දිග බෙඟල බොක්ක , අවමන් මුහුද හා ගෙඹුරු මුහුද ප්‍රදේශ වල මෙන්ම , ඉඩිරි පෙය 24 - තුළ ","ඉදිරි පැය 72 -තුළ ගිනිකොන දිග බෙංගාල බොක්ක,අන්දමන් මුහුදේ හා ගැඹුරු මුහුද ප්‍රදේශ ප්‍රදේශවල මෙන්ම, ඉදිරි පැය 24-තුල",ඉදිරි පෙය 72-තුල ගිනිකොන දිග බෙංගාල බොක්ක අන්දමන් මුහුද හා ගෙම්බුරු මුහුද ප්‍රදේශ වල මෙන්ම ඉදිරි පෙය 24-තුල (1/2)
update: pannipitiye dee lorry ratha riyadurekuta pahara dun police kosthapalwaraya athadanguwata,update : පන්නිපිටියෙ දී ලොර්ර්ය් රත රියඩුරෙකුට පහර ඩුන් police කොස්තපල්වරය අත්අඩංගුවට,update : පන්නිපිටිය දී ලොර්ර්ය් රථ රියඩුරෙකුට පහර දුන් police කොස්තපල්වරය අත්අඩංගුවට,UPDATE: පන්නිපිටිය  ලොරි රථ රියදුරෙකුට පහරදුන් පොලිස් කොස්තාපල්වරයා අත්අඩංගුවට,උප්දතෙ පන්නිපිටියේ දී ලොර්ර්ය් රථ රියදුරෙකුට පහර දුන් පොලිචේ කොස්තාපල්වරය අත්අඩංගුවට
update: pannipitiyedi lorry-ratha riyadurekuta pahara-dun maharagama police kosthapalvaraya athadanguwata: police spokesman- hirunews.lk,update : පන්නිපිටියෙඩි ලොර්ර්ය් - රත රියඩුරෙකුට පහර - ඩුන් මහරගම police කොස්තපල්වරය අත්අඩංගුවට : police spokesmen - හිරුනෙව්ස් . ල්ක්,update : පන්නිපිටියෙඩි ලොර්ර්ය් - රථ රියඩුරෙකුට පහර - දුන් මහරගම police කොස්තපල්වරය අත්අඩංගුවට : Police  Spokesman- Hiru news.lk,update පන්නිපිටියේ දී ලොරි-රථ රියදුරුට පහර-දුන්  මහරගම පොලිස් කොස්තාපල්වරයා අත්අඩංගුවට Police  Spokesman- Hiru news.lk,උප්දතෙ පන්නිපිටියේදී ලොර්ර්ය්-රථ රියදුරෙකුට පහර-දුන් මහරගම පොලිචේ කොස්තාපල්වරයා අථදංගුවත පොලිචේ ස්පොකෙස්මං හිරුනේව්ස්.ලක්
(2/2)cheena janadhipathi xi jinping ha janadhipathi gotabaya rajapaksa durakathana sanwadayaka niratha wemin ekagathwaya pala karai,චීන ජනඩ්හිපති xi jinping හා ජනඩ්හිපති ගොටබය රජපක්ස ඩුරකතන සන්වඩයක නිරත වෙමින් එකගත්වය පල කරඉ,චීන ජනඩ්හිපති xi jinping හා ජනඩ්හිපති ගොටබය රාජපක්ෂ දුරකථන සන්වඩයක නිරත වෙමින් එකඟතාවය පල කරයි,චීන ජනාධිපති xi jinping හා ජනාධිපති ගෝඨාභය රාජපක්ෂ දුරකථන සංවාදයක නිරත වෙමින් එකඟතාවය පළ කරයි,(2/2)චීන ජනාධිපති ෂි ජින්පින්ග් හා ජනාධිපති ගොටබය රාජපක්ස දුරකථන සංවාදයක නිරත වෙමින් එකගත්වය පල කරි
siyalu ksheshthrayakama anynonya prathilaba sahitha dweeparshawiya sahayogeethawaya shakthimath kara wardanaya kireemata(1/2),සියලු ක්ශෙශ්ත්‍රයකම අන්ය්නොන්ය ප්‍රතිලබ සහිත ඩ්වීපර්ශවිය සහයොගීතවය ශක්තිමත් කර වර්ඩනය කිරීමට,සියලු ක්ශෙශ්ත්‍රයකම අන්ය්නොන්ය ප්‍රතිලබ සහිත ඩ්වීපර්ශවිය සහයොගීතවය ශක්තිමත් කර වර්ධනය කිරීමට,සියලු ක්ෂේත්‍රයකම අන්‍යෝන්‍ය ප්‍රතිලාභ සහිත ද්විපාර්ශ්වීය සහයෝගීතාව ශක්තිමත් කර වර්ධනය කිරීමට,සියලු ක්ෂේෂ්ඨ්රයකම අන්‍ය්නොන්ය ප්‍රතිලාබ සහිත ද්වීපර්ශවිය සහයෝගීතාවය ශක්තිමත් කර වර්දනය කිරීමට(1/2)
