,,,content,man_written
Ada Derana,3/29/2021 16:16,Received,Kotte nagarika manthree Dhammika Chandraratne ge paksha samajikathwaya ha manthri duraya ahimi kireeme UNPye theeranaya kriyathmaka weema walakwalamin(1/2),කෝට්ටේ නාගරික මන්ත්‍රී ධම්මික චන්ද්‍රරත්න ගේ පක්ෂ සාමාජිකත්වය හා මන්ත්‍රී ධුරය අහිමි කිරීමේ UNPයේ තීරණය ක්‍රියාත්මක වීම වළක්වමින්
Ada Derana,3/29/2021 15:30,Received,YouTube nalikawak ha web adawiyak haraha LTTE thrasthawadaya pracharaya kireemata adalawa kanthawak ethulu pudgalayin 2 k Yapanaye dee TID athadanguwata,YouTube නාලිකාවක් හා වෙබ් අඩවියක් හරහා LTTE ත්‍රස්තවාදය ප්‍රචාරණය කිරීමට අදාළව  කාන්තාවක්  ඇතුළු පුද්ගලයින් 2ක් යාපනයේ දී යාපනයේදී TID අත්අඩංගුවට
Hiru News,3/29/2021 15:22,Received,LTTEya prawardanaya wana lesa YouTube nalikawak ha Web adawiyak pawathwagena giya kanthawak ha thawath ayek Yapanayedi TID athadanguwata.: Police Spokesman,LTTE ය ප්‍රවර්ධනය වන ලෙස YouTube නාලිකාවක් හා වෙබ් අඩවියක් පවත්වාගෙන ගිය කාන්තාවක් හා තවත් අයෙකු යාපනයේ දී යාපනයේදී TID අත්අඩංගුවට police spokesman
News 1st,3/29/2021 15:22,Received,..yapanayedi kanthawak ethulu sekakaruwan 02k TID athadanguwata.-Police (2/2),යාපනයේ දී කාන්තාවක්  ඇතුළු සැකකරුවන් 2ක් TID අත්අඩංගුවට.-  police
News 1st,3/29/2021 15:21,Received,LTTE thrasthawadaya prawardhana wana lesa Youtube nalikawak ha web adawiyak pawathwagena  yame chodana matha... (1/2),LTTE ත්‍රස්තවාදය ප්‍රවර්ධනය වන ලෙස YouTube නාලිකාවක් හා වෙබ් අඩවියක් පවත්වාගෙන යෑමේ චෝදනා මත
News 1st,3/29/2021 15:09,Received,Kotte mahanagara sabha mantree Dhammika Chandrarathnage mantree duraya ha pakshayen nerapima walakwamin.. (1/2),කෝට්ටේ මහ නගර සභා මන්ත්‍රී  ධම්මික චන්ද්‍රරතන ගේ මන්ත්‍රී ධුරය හා පක්ෂයෙන් නෙරපීම වළක්වමින්
Hiru News,3/29/2021 13:07,Received,"Iye 07-am sita, 05-pm dakwa Basnahira palathe kala meheyumakadi, adikaranaya magahera siti warenthu-karuwan 418k athulu 1,120k athadanguwata: Police","ඊයෙ  7 am. සිට, 5 pm. දක්වා බස්නාහිර පළාතේ කළ මෙහෙයුමකදී, අධිකරණය මගහැර සිටි වරෙන්තුකරුවන් 488ක් ඇතුළු 1200ක් අත්අඩංගුවට: police"
Hiru News,3/29/2021 13:06,Received,"Anayanika pol-thel wala, saampala pareekshanaye prathipala, Sri Lanka pramithi ayathanaya wisin regu adyaksha general-ta baara-dei","ආනයනික පොල්තෙල් වල, සාම්පල පරීක්ෂණයේ ප්‍රතිඵල, ශ්‍රී ලංකා ප්‍රමිති ආයතනය විසින් රේගු අධ්‍යක්ෂ ජනරාල්ට භාර දෙයි"
Hiru News,3/29/2021 13:06,Received,"Suez ela awahira karamin siravee thibu ""Ever Given"" bahalum prawaahana naukawa muda gene: Foreign Media","සූවස් ඇල අවහිර කරමින් සිරවී තිබූ ""ever given"" බහාලුම් ප්‍රවාහන නෞකාව මුදා ගැනේ: foreign media"
Ada Derana,3/29/2021 12:03,Received,Aflatoxins adangu bawata wu pramithiyen thora polthel thogawala sampala 2 wana thathwa parikshanayenuth asamath wei-SL pramithi ayathanaye adyaksha general,Afloxins අඩංගු බවට වූ ප්‍රමිතියෙන් තොර පොල්තෙල්  තොග වල සම්පල් 2 වන තත්ව පරීක්ෂණයෙන් අසමත් වේ-SL ප්‍රමිති ආයතනයේ අධ්‍යක්ෂ ජනරාල්
Ada Derana,3/29/2021 11:01,Received,Induneesiyawe vishalathama thel piripahadu madyasthanayaka ginnak. Eya medapawathweemata meheyum kriyathmakai- Vides maadya,ඉන්දුනීසියාවේ විශාලතම තෙල් පිරිපහදු මධ්‍යස්ථානය ක  ගින්නත්. එය මැද පැවැත්වීමට මෙහෙයුම් ක්‍රියාත්මකයි- විදෙස් මාධ්‍ය
Ada Derana,3/29/2021 10:26,Received,Suez Ala maargaya awahira karamin pasugiya agaharuwada sita sira wee thibuu bahalum pravahana naukawa muda ganne,සූවස් ඇල ඇළ මාර්ගය අවහිර කරමින් පසුගිය අඟහරුවාදා සිට සිරවී තිබූ බහාලුම් ප්‍රවාහන නෞකාව මුදා ගැනේ
News 1st,3/29/2021 10:25,Received,Sathiyakata asanna kalayak suez aela margaye sirawi thibu dawentha bahalum prawahana nawkawa muda gene.- wides madya.,සතියක ආසන්න කාලයක් සූවස් ඇළ මාර්ගයේ මාර්ගයෙහි සිරවී තිබූ දැවැන්ත ප්‍රවාහන  බහළුම් නෞකාව මුදා ගැනේ-විදෙස් මාධ්‍ය
News 1st,3/29/2021 7:51,Received,Basnahira palathe kriyathmaka kala wishesha meheyumakin warenthukaruwan 418k ethulu sekakaruwan 1120k athadanguwata.- police,බස්නාහිර පළාතේ ක්‍රියාත්මක කළ විශේෂ මෙහෙයුමකින් වරෙන්තුකරුවන් 418 ක් ඇතුළු සැකකරුවන් 1120ක් අත්අඩංගුවට.- police
Ada Derana,3/28/2021 21:08,Received,Covid-19 asaditha marana 02 k wartha weemath samaga merata samastha marana ganana 561 dakwa ihalata - Saukya amathyanshaya,Covid 19 ආසාදිත මරණ 2ක් වාර්තා වීමත් සමග මෙරට සමස්ත මරණ ගණන 568 දක්වා  ඉහලට.: සෞඛ්‍ය අමාත්‍යංශය
Ada Derana,3/28/2021 21:06,Received,UPDATE: Thawath Covid-19 asadithayin 69 deneku haduna ganne.Ada meratin wartha wu asadithayin ganana 237 dakwa ihalata - Yuda hamudapathi,Update  covid-19 ආසාදිතයින් 69 දෙනෙකු හඳුනා ගැනේ අද මෙරටින් වාර්තා වූ ආසාධිතයිදිතයින් ගණන 237 දක්වා ඉහළට - යුද හමුදාපති
News 1st,3/28/2021 21:04,Received,Thawath corona marana 02k wartha wei. Marana sankiyawa 561k dakwa ihalata. - Sawkya sewa adyaksha genaral,තවත් කොරෝනා මරණ 2ක් වාර්තා වෙයි මරණ සංඛ්‍යාව 568 දක්වා ඉහළට - සෞඛ්‍ය සේවා අධ්‍යක්ෂ ජනරාල්
News 1st,3/28/2021 20:11,Received,"Rs. milliona 16.3 watina wideshiya dumweti 272,000k samaga sekakaruwek Maligawattedi athadanguwata. - Police",රුපියල් මිලියන 16.3 වටිනා විදේශීය දුම්වැටි 272000ක්සමග සැකකරුවෙක් මාලිගාවත්තේ දී අත්අඩංගුවට.- police
News 1st,3/28/2021 18:54,Received,Thawath corona asadithin 168k haduna gene. - Rajye prawurthi departhamenthuwa,තවත් කොරෝනා ආසාදිතයින් 168ක් හඳුනා ගැනගැනේ.- රජයේ ප්‍රවෘත්ති දෙපාර්තමේන්තුව
